"campaign_name","text","ad_name","ad_set_name","age","gender","result_type","results","reach","impressions","cost_per_result","amount_spent_usd","link_clicks","frequency","starts","ends","audience","restriction18_39","campaign_theme","version","video_theme","agetrin","text_treat"
"Factual V3","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Global Poverty (Factual V3)","Global Poverty (Factual V3)","Unknown","unknown",NA,NA,0,0,NA,0,NA,0,2021-12-23,2022-01-04,"Global Poverty",1,"Factual","V3 - sometimes Luke","Factual short",-1,"6000+ people"
"Factual","Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Climate Change (Factual)","Climate Change (Factual)","45-54","unknown",NA,NA,4,6,NA,0.21996948851659,NA,1.5,2021-11-30,2021-12-08,"Climate",0,"Factual","V1","Factual long",-1,"Only 3% research"
"Factual","Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.","Climate Change (Factual)","Climate Change (Factual)","55-64","unknown",NA,NA,4,4,NA,0.44993759014756,NA,1,2021-11-30,2021-12-08,"Climate",0,"Factual","V1","Factual long",-1,"100x impact"
"Factual","Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.","Climate Change (Factual)","Climate Change (Factual)","45-54","unknown",NA,NA,8,8,NA,0.13998058360146,NA,1,2021-11-30,2021-12-08,"Climate",0,"Factual","V1","Factual long",-1,"100x impact"
"Factual","Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Climate Change (Factual)","Climate Change (Factual)","25-34","unknown",NA,NA,2,2,NA,0.099986131143903,NA,1,2021-11-30,2021-12-08,"Climate",0,"Factual","V1","Factual long",1,"Only 3% research"
"Factual","Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Climate Change (Factual)","Climate Change (Factual)","35-44","unknown",NA,NA,5,5,NA,0.17997503605903,NA,1,2021-11-30,2021-12-08,"Climate",0,"Factual","V1","Factual long",0,"Only 3% research"
"Factual","Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Climate Change (Factual)","Climate Change (Factual)","65+","unknown",NA,NA,8,8,NA,0.32995423277488,NA,1,2021-11-30,2021-12-08,"Climate",0,"Factual","V1","Factual long",-1,"Only 3% research"
"Factual","Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Climate Change (Factual)","Climate Change (Factual)","18-24","unknown",NA,NA,7,8,NA,0.26996255408854,NA,1.1428571428571,2021-11-30,2021-12-08,"Climate",0,"Factual","V1","Factual long",1,"Only 3% research"
"Factual","Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Climate Change (Factual)","Climate Change (Factual)","55-64","unknown",NA,NA,4,6,NA,0.28995978031732,NA,1.5,2021-11-30,2021-12-08,"Climate",0,"Factual","V1","Factual long",-1,"Only 3% research"
"Factual","Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.","Climate Change (Factual)","Climate Change (Factual)","18-24","unknown",NA,NA,3,3,NA,0.039994452457561,NA,1,2021-11-30,2021-12-08,"Climate",0,"Factual","V1","Factual long",1,"100x impact"
