"Reporting starts","Reporting ends","Ad Set Name","Ad set delivery",Bid,"Bid type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Amount spent (USD)",Ends,Starts,Frequency,"Unique link clicks","Ad set budget","Ad set budget type"
2021-11-15,2022-01-31,,0,0,0,0,"7-day click or 1-day view",,,393476,770113,,15978.28,,,1.957205,,0,0
2021-11-15,2022-01-31,"Philanthropy (Emotional)",completed,0,ABSOLUTE_OCPM,2021-11-30T16:43:02+1100,"7-day click or 1-day view",210,actions:onsite_conversion.lead_grouped,56877,77970,12.233571428571,2569.05,2021-12-20,2021-11-30,1.370853,610,"Using campaign budget",0
2021-11-15,2022-01-31,"Lookalikes (Emotional)",completed,0,ABSOLUTE_OCPM,2021-11-30T19:47:34+1100,"7-day click or 1-day view",62,actions:onsite_conversion.lead_grouped,11095,12779,8.7253225806452,540.97,2021-12-20,2021-11-30,1.15178,130,"Using campaign budget",0
2021-11-15,2022-01-31,"Animal Welfare (Emotional)",completed,0,ABSOLUTE_OCPM,2021-11-30T16:43:12+1100,"7-day click or 1-day view",171,actions:onsite_conversion.lead_grouped,35312,48494,9.7240935672515,1662.82,2021-12-20,2021-11-30,1.373301,425,"Using campaign budget",0
2021-11-15,2022-01-31,"Global Poverty (Emotional)",completed,0,ABSOLUTE_OCPM,2021-11-30T16:43:12+1100,"7-day click or 1-day view",9,actions:onsite_conversion.lead_grouped,7676,8220,19.062222222222,171.56,2021-12-20,2021-11-30,1.07087,31,"Using campaign budget",0
2021-11-15,2022-01-31,"Climate Change (Emotional)",completed,0,ABSOLUTE_OCPM,2021-11-30T16:43:12+1100,"7-day click or 1-day view",3,actions:onsite_conversion.lead_grouped,1600,2059,16.81,50.43,2021-12-20,2021-11-30,1.286875,35,"Using campaign budget",0
2021-11-15,2022-01-31,"Philanthropy (Factual)",not_delivering,0,ABSOLUTE_OCPM,2021-12-08T11:12:07+1100,"7-day click or 1-day view",12,actions:onsite_conversion.lead_grouped,6087,7682,27.285,327.42,2021-12-08,2021-11-30,1.262034,46,"Using campaign budget",0
2021-11-15,2022-01-31,"Animal Welfare (Factual)",not_delivering,0,ABSOLUTE_OCPM,2021-12-08T11:12:07+1100,"7-day click or 1-day view",13,actions:onsite_conversion.lead_grouped,8228,9427,23.783076923077,309.18,2021-12-08,2021-11-30,1.145722,48,"Using campaign budget",0
2021-11-15,2022-01-31,"Climate Change (Factual)",not_delivering,0,ABSOLUTE_OCPM,2021-12-08T11:12:07+1100,"7-day click or 1-day view",18,actions:onsite_conversion.lead_grouped,7982,10149,20.026111111111,360.47,2021-12-08,2021-11-30,1.271486,54,"Using campaign budget",0
2021-11-15,2022-01-31,"Global Poverty (Factual)",not_delivering,0,ABSOLUTE_OCPM,2021-12-08T11:12:07+1100,"7-day click or 1-day view",5,actions:onsite_conversion.lead_grouped,4227,4841,33.28,166.4,2021-12-08,2021-11-30,1.145257,40,"Using campaign budget",0
