"Campaign name",Text,"Ad name","Ad Set Name",Age,Gender,"Campaign name","Attribution setting","Result type",Results,Reach,Impressions,"Cost per result","Amount spent (USD)","Link clicks",Frequency,"Start Pledge (New)",Starts,Ends,"Reporting starts","Reporting ends"
"Giving Guide 2021 – Factual V3","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Global Poverty (Factual V3)","Global Poverty (Factual V3)",Unknown,unknown,"Giving Guide 2021 – Factual V3","7-day click or 1-day view",,,0,0,,0,,0,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual","Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Climate Change (Factual)","Climate Change (Factual)",45-54,unknown,"Giving Guide 2021 – Factual","7-day click or 1-day view",,,4,6,,0.21996948851659,,1.5,,2021-11-30,2021-12-08,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual","Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.","Climate Change (Factual)","Climate Change (Factual)",55-64,unknown,"Giving Guide 2021 – Factual","7-day click or 1-day view",,,4,4,,0.44993759014756,,1,,2021-11-30,2021-12-08,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual","Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.","Climate Change (Factual)","Climate Change (Factual)",45-54,unknown,"Giving Guide 2021 – Factual","7-day click or 1-day view",,,8,8,,0.13998058360146,,1,,2021-11-30,2021-12-08,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual","Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Climate Change (Factual)","Climate Change (Factual)",25-34,unknown,"Giving Guide 2021 – Factual","7-day click or 1-day view",,,2,2,,0.099986131143903,,1,,2021-11-30,2021-12-08,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual","Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Climate Change (Factual)","Climate Change (Factual)",35-44,unknown,"Giving Guide 2021 – Factual","7-day click or 1-day view",,,5,5,,0.17997503605903,,1,,2021-11-30,2021-12-08,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual","Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Climate Change (Factual)","Climate Change (Factual)",65+,unknown,"Giving Guide 2021 – Factual","7-day click or 1-day view",,,8,8,,0.32995423277488,,1,,2021-11-30,2021-12-08,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual","Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Climate Change (Factual)","Climate Change (Factual)",18-24,unknown,"Giving Guide 2021 – Factual","7-day click or 1-day view",,,7,8,,0.26996255408854,,1.1428571428571,,2021-11-30,2021-12-08,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual","Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Climate Change (Factual)","Climate Change (Factual)",55-64,unknown,"Giving Guide 2021 – Factual","7-day click or 1-day view",,,4,6,,0.28995978031732,,1.5,,2021-11-30,2021-12-08,2021-11-15,2022-01-31
"Giving Guide 2021 – Factual","Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.","Climate Change (Factual)","Climate Change (Factual)",18-24,unknown,"Giving Guide 2021 – Factual","7-day click or 1-day view",,,3,3,,0.039994452457561,,1,,2021-11-30,2021-12-08,2021-11-15,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Emotional + Factual (Animated)","General Population (18-39)",18-24,unknown,"Giving Guide 2021 – PPCo Creatives","7-day click or 1-day view",,,76,105,,1.15,,1.3815789473684,,2022-01-07,2022-01-17,2021-11-15,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Emotional + Factual (Animated)","General Population (18-39)",25-34,unknown,"Giving Guide 2021 – PPCo Creatives","7-day click or 1-day view",,,72,98,,0.92,,1.3611111111111,,2022-01-07,2022-01-17,2021-11-15,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Use our free guide to learn how to make a bigger impact on the causes you care about most.","Emotional + Factual (Animated)","General Population (18-39)",18-24,unknown,"Giving Guide 2021 – PPCo Creatives","7-day click or 1-day view",,,89,89,,0.89,,1,,2022-01-07,2022-01-17,2021-11-15,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Use our free guide to learn how to make a bigger impact on the causes you care about most.","Emotional + Factual (Animated)","General Population (18-39)",25-34,unknown,"Giving Guide 2021 – PPCo Creatives","7-day click or 1-day view",,,66,76,,1.44,,1.1515151515152,,2022-01-07,2022-01-17,2021-11-15,2022-01-31
"Giving Guide 2021 – PPCo Creatives","Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Emotional + Factual (Animated)","General Population (18-39)",35-44,unknown,"Giving Guide 2021 – PPCo Creatives","7-day click or 1-day view",,,34,46,,0.48,,1.3529411764706,,2022-01-07,2022-01-17,2021-11-15,2022-01-31
