"Campaign name","Ad name","Image, video and slideshow","Ad Set Name",Reach,Impressions,"Attribution setting","Result type",Results,"Amount spent (USD)",Starts,Ends,"Link clicks","Cost per result","Reporting starts","Unique link clicks","Reporting ends"
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","ggwc_emotional_set_1 (1).mp4 (869866030367680)","Philanthropy (Emotional)",34110,44150,"7-day click or 1-day view","Meta Leads",124,1529.9933875526,2021-11-30,2021-12-20,368,12.338656351231,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Animal Welfare (Emotional)","ggwc_emotional_set_1 (1).mp4 (869866030367680)","Animal Welfare (Emotional)",30576,40824,"7-day click or 1-day view","Meta Leads",141,1352.1198607732,2021-11-30,2021-12-20,359,9.589502558675,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Climate Change (Factual V2)","gg_factual_short.mp4 (1298714567312091)","Climate Change (Factual V2)",21932,25846,"7-day click or 1-day view","Meta Leads",94,711.78204856303,2021-12-08,2021-12-20,305,7.5721494527982,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Philanthropy (Factual V2)","gg_factual_short.mp4 (1298714567312091)","Philanthropy (Factual V2)",16449,19621,"7-day click or 1-day view","Meta Leads",71,658.75271784568,2021-12-08,2021-12-20,232,9.2782072936011,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Animal Welfare (Factual V2)","gg_factual_short.mp4 (1298714567312091)","Animal Welfare (Factual V2)",17743,20462,"7-day click or 1-day view","Meta Leads",62,653.82111355898,2021-12-08,2021-12-20,213,10.545501831596,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V3","Animal Welfare (Factual V3)","gg_factual_short.mp4 (1298714567312091)","Animal Welfare (Factual V3)",41361,51689,"7-day click or 1-day view","Meta Leads",75,591.12424251497,2021-12-23,2022-01-04,223,7.8816565668663,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Lookalikes (Factual V2)","gg_factual_short.mp4 (1298714567312091)","Lookalikes (Factual V2)",12235,13803,"7-day click or 1-day view","Meta Leads",82,479.75688931914,2021-12-08,2021-12-20,220,5.8506937721846,2021-11-20,,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","ggwc_emotional_set_3 (1).mp4 (287217033315901)","Philanthropy (Emotional)",16854,18904,"7-day click or 1-day view","Meta Leads",35,461.64225586659,2021-11-30,2021-12-20,132,13.189778739045,2021-11-20,,2022-01-31
"Giving Guide 2021 – Emotional V3","Philanthropy (Emotional V3)","New Giving Guide Video Ad Filmed Emotional - Global Poverty.m4v (310295524327625)","Philanthropy (Emotional V3)",35513,45767,"7-day click or 1-day view","Meta Leads",64,458.81583508909,2021-12-23,2022-01-04,137,7.168997423267,2021-11-20,,2022-01-31
"Giving Guide 2021 – Factual V2","Global Poverty (Factual V2)","gg_factual_short.mp4 (1298714567312091)","Global Poverty (Factual V2)",16210,18406,"7-day click or 1-day view","Meta Leads",53,420.76188183979,2021-12-08,2021-12-20,138,7.9389034309395,2021-11-20,,2022-01-31
"Giving Guide 2021 – Hypercube Brand Video","Hypercube Brand Video (Animated)","[Version 02] Giving What We Can Promo Video Final - CTA Visit GWWC.org [2021-29-11]_compressed.m4v (866994837312979)","General Population (18-39)",16640,21789,"7-day click or 1-day view","Meta Leads",21,353.92,2022-01-07,2022-01-17,70,16.853333333333,2021-11-20,,2022-01-31
