"Campaign name","Ad name",Text,"Campaign name","Attribution setting","Result type",Results,Reach,Impressions,"Cost per result","Amount spent (USD)","Link clicks",Frequency,"Unique link clicks","Start Pledge (New)",Starts,Ends,"Reporting starts","Reporting ends"
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",81,25000,30291,12.868898049226,1042.3807419873,225,1.21164,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Lookalikes (Emotional)","It can be overwhelming with so many problems in the world. Fortunately, we can do *a lot* to help, if we give effectively.

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",9,1608,1664,8.793168445653,79.138516010877,21,1.0348258706468,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Global Poverty (Emotional)","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",1,945,971,21.662423959911,21.662423959911,4,1.0275132275132,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Global Poverty (Emotional)","Use our free guide to learn how to make a bigger impact on the causes you care about most.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",3,1030,1054,8.0938359942509,24.281507982753,8,1.0233009708738,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Global Poverty (Emotional)","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",3,4151,4396,30.239424309521,90.718272928563,12,1.0590219224283,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Global Poverty (Emotional)","Whether we’re moved by animal welfare, the climate crisis, or worldwide humanitarian efforts, our community is united by one thing: making the biggest impact we can. 
 
Make a bigger difference in the world through charitable giving. Start by downloading our Effective Giving Guide. You’ll learn how to approach charity research and smart giving. And be sure to share it with others who care about making a greater impact on the causes closest to their hearts.","Giving Guide 2021 - Emotional","7-day click or 1-day view",,,853,862,,15.274657965272,2,1.010550996483,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","It can be overwhelming with so many problems in the world. Fortunately, we can do *a lot* to help, if we give effectively.

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",38,16272,18013,13.687125844598,520.11078209473,142,1.1069936086529,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","Use our free guide to learn how to make a bigger impact on the causes you care about most.","Giving Guide 2021 - Emotional","7-day click or 1-day view",,,10,12,,0.25478439425051,,1.2,,,2021-12-03,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Giving Guide 2021 - Emotional","7-day click or 1-day view",,,14,18,,0.58388090349076,,1.2857142857143,,,2021-12-03,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","Whether we’re moved by animal welfare, the climate crisis, or worldwide humanitarian efforts, our community is united by one thing: making the biggest impact we can. 
 
Make a bigger difference in the world through charitable giving. Start by downloading our Effective Giving Guide. You’ll learn how to approach charity research and smart giving. And be sure to share it with others who care about making a greater impact on the causes closest to their hearts.","Giving Guide 2021 - Emotional","7-day click or 1-day view",,,12,18,,1.1252977412731,,1.5,,,2021-12-03,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","It can be overwhelming with so many problems in the world. Fortunately, we can do *a lot* to help, if we give effectively.

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Giving Guide 2021 - Emotional","7-day click or 1-day view",,,15,25,,0.69004106776181,,1.6666666666667,,,2021-12-03,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",2,46,75,1.2579979466119,2.5159958932238,4,1.6304347826087,,,2021-12-03,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Lookalikes (Emotional)","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",8,1392,1441,7.769494861905,62.15595889524,15,1.0352011494253,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Lookalikes (Emotional)","Use our free guide to learn how to make a bigger impact on the causes you care about most.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",3,1478,1535,18.940671636729,56.822014910187,11,1.0385656292287,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Lookalikes (Emotional)","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",8,1524,1586,8.7477181724846,69.981745379877,16,1.0406824146982,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Global Poverty (Emotional)","It can be overwhelming with so many problems in the world. Fortunately, we can do *a lot* to help, if we give effectively.

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",2,924,937,9.8115685817504,19.623137163501,5,1.0140692640693,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Lookalikes (Emotional)","Whether we’re moved by animal welfare, the climate crisis, or worldwide humanitarian efforts, our community is united by one thing: making the biggest impact we can. 
 
Make a bigger difference in the world through charitable giving. Start by downloading our Effective Giving Guide. You’ll learn how to approach charity research and smart giving. And be sure to share it with others who care about making a greater impact on the causes closest to their hearts.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",34,5842,6553,8.0256401412888,272.87176480382,71,1.1217048955837,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Animal Welfare (Emotional)","Whether we’re moved by animal welfare, the climate crisis, or worldwide humanitarian efforts, our community is united by one thing: making the biggest impact we can. 
 
Make a bigger difference in the world through charitable giving. Start by downloading our Effective Giving Guide. You’ll learn how to approach charity research and smart giving. And be sure to share it with others who care about making a greater impact on the causes closest to their hearts.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",20,4956,5522,9.1730230454812,183.46046090962,38,1.1142050040355,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Climate Change (Emotional)","It can be overwhelming with so many problems in the world. Fortunately, we can do *a lot* to help, if we give effectively.

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",1,200,217,6.5826105931363,6.5826105931363,3,1.085,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","Whether we’re moved by animal welfare, the climate crisis, or worldwide humanitarian efforts, our community is united by one thing: making the biggest impact we can. 
 
Make a bigger difference in the world through charitable giving. Start by downloading our Effective Giving Guide. You’ll learn how to approach charity research and smart giving. And be sure to share it with others who care about making a greater impact on the causes closest to their hearts.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",31,8228,8989,9.7184058150844,301.27058026762,80,1.0924890617404,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","Use our free guide to learn how to make a bigger impact on the causes you care about most.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",29,9028,10226,11.712197642486,339.65373163209,85,1.1326982720425,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Philanthropy (Emotional)","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",31,9243,10451,11.794650452202,365.63416401825,97,1.1306934977821,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Animal Welfare (Emotional)","It can be overwhelming with so many problems in the world. Fortunately, we can do *a lot* to help, if we give effectively.

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",24,5479,6127,8.7769677109685,210.64722506324,66,1.118269757255,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Animal Welfare (Emotional)","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",92,20764,26349,9.960746922076,916.38871683099,234,1.2689751492969,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Animal Welfare (Emotional)","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",20,4941,5345,8.9852857893243,179.70571578649,57,1.0817648249342,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Climate Change (Emotional)","Use our free guide to learn how to make a bigger impact on the causes you care about most.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",2,841,1029,12.519965284666,25.039930569331,29,1.2235434007134,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Climate Change (Emotional)","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Giving Guide 2021 - Emotional","7-day click or 1-day view",,,259,297,,6.8227058123388,3,1.1467181467181,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Climate Change (Emotional)","Whether we’re moved by animal welfare, the climate crisis, or worldwide humanitarian efforts, our community is united by one thing: making the biggest impact we can. 
 
Make a bigger difference in the world through charitable giving. Start by downloading our Effective Giving Guide. You’ll learn how to approach charity research and smart giving. And be sure to share it with others who care about making a greater impact on the causes closest to their hearts.","Giving Guide 2021 - Emotional","7-day click or 1-day view",,,254,274,,5.7322733584606,3,1.0787401574803,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Climate Change (Emotional)","Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.","Giving Guide 2021 - Emotional","7-day click or 1-day view",,,226,242,,6.2524796667328,3,1.070796460177,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 - Emotional","Animal Welfare (Emotional)","Use our free guide to learn how to make a bigger impact on the causes you care about most.","Giving Guide 2021 - Emotional","7-day click or 1-day view","On-Facebook Leads",15,4745,5151,11.507858760644,172.61788140966,41,1.0855637513172,,,2021-11-30,2021-12-20,2021-11-15,2022-01-31
"Giving Guide 2021 – Emotional V3","Retargeting (Emotional V3)","Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.","Giving Guide 2021 – Emotional V3","7-day click or 1-day view",,,5,6,,0.08,,1.2,,,2021-12-23,2022-01-04,2021-11-15,2022-01-31
