Campaign name,Ad Set Name,Age,Gender,Text,Reach,Impressions,Frequency,Result type,Results,Cost per result,Amount spent (USD),"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Clicks (all),CTR (all),"Cost per 1,000 people reached",3-second video plays,ThruPlays,Unique link clicks,Included custom audiences,Reporting starts,Reporting ends
,,,,,393476,770113,1.957204505,On-Facebook Leads,1581,10.11,15978.28,20.74796816,4704,3.3967432,0.610819451,13259,1.72169539,40.60801675,185612,37245,4478,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Global Poverty (Factual V3),13-17,male,Use our free guide to learn how to make a bigger impact on the causes you care about most.,1,1,1,,,,0.00,0,,,,0,0,0,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),13-17,female,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",1,1,1,,,,0.00,0,,,,0,0,0,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,General Population (18-39),13-17,unknown,"Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.",5,5,1,,,,0.07,14,,,,0,0,14,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V2,Global Poverty (Factual V2),13-17,male,"Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",1,1,1,,,,0.01,10.08900328,,,,0,0,10.08900328,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Global Poverty (18-39),13-17,female,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",1,1,1,,,,0.04,40,,,,0,0,40,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Global Poverty (18-39),13-17,unknown,Use our free guide to learn how to make a bigger impact on the causes you care about most.,1,1,1,,,,0.01,10,,,,0,0,10,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V2,Animal Welfare (Factual V2),13-17,male,"Did you know that the best charities can have a 100x greater impact?
Download our free Effective Giving Guide for the best tips on doing the most good this holiday season.",0,1,0,,,,0.04,40.17766049,,,,0,0,,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Global Poverty (18-39),13-17,female,"Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",2,2,1,,,,0.09,45,,,,0,0,45,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V2,Global Poverty (Factual V2),13-17,male,Use our free guide to learn how to make a bigger impact on the causes you care about most.,1,1,1,,,,0.00,0,,,,0,0,0,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V2,Global Poverty (Factual V2),13-17,female,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",1,1,1,,,,0.01,10.08900328,,,,0,0,10.08900328,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),13-17,female,Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.,3,3,1,,,,0.11,36.66666667,,,,0,0,36.66666667,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,General Population (18-39),13-17,female,"Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",4,4,1,,,,0.05,12.5,,,,0,0,12.5,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),13-17,female,"Only 3% of donors give based on charity effectiveness yet the best charities can be 100x more impactful. That’s incredible!

Check out the Effective Giving Guide 2021. It'll help you find the most impactful charities across a range of causes.",1,1,1,,,,0.02,20,,,,0,0,20,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),13-17,male,Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.,1,1,1,,,,0.02,20,,,,0,0,20,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Emotional V3,Philanthropy (Emotional V3),13-17,male,Want to make a bigger difference next year? Start with our Effective Giving Guide and learn how to make a remarkable impact just by carefully choosing the charities you give to.,3,3,1,,,,0.01,3.33584775,,,,0,0,3.33584775,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change (18-39),13-17,male,"Giving What We Can has helped 6,000+ people make a bigger impact on the causes they care about most. Download our free guide and learn how you can do the same.",1,2,2,,,,0.02,10,,,,0,0,20,,,,,2021-11-01,2022-01-20
