Campaign name,Ad Set Name,Age,Gender,Video,Reach,Impressions,Frequency,Result type,Results,Cost per result,Amount spent (USD),"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Clicks (all),CTR (all),"Cost per 1,000 people reached",3-second video plays,ThruPlays,Unique link clicks,Included custom audiences,Reporting starts,Reporting ends
,,,,,393476,770113,1.957204505,On-Facebook Leads,1581,10.11,15978.28,20.74796816,4704,3.3967432,0.610819451,13259,1.72169539,40.60801675,185612,37245,4478,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V2,Global Poverty (Factual V2),13-17,male,gg_factual_short.mp4,0,2,0,,,,0.01,5.04450164,,,,0,0,,,,,,2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Philanthropy (Emotional),13-17,unknown,ggwc_emotional_set_1 (1).mp4,2,2,1,,,,0.01,5.02134372,,,,0,0,5.02134372,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Climate Change + Lookalikes (18-39),13-17,female,ggwc_emotional_set_2 (1).mp4,1,1,1,,,,0.01,9.99765671,,,,0,0,9.99765671,,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change (18-39),13-17,unknown,23849025484170764,2,2,1,,,,0.04,20,,,,0,0,20,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change (18-39),13-17,male,23849025484170764,2,2,1,,,,0.08,40,,,,0,0,40,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Lookalikes (Factual V3),13-17,female,gg_factual_short.mp4,4,4,1,,,,0.07,17.5,,,,0,0,17.5,,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Philanthropy (Emotional),13-17,female,ggwc_emotional_set_3 (1).mp4,9,9,1,,,,0.14,15.62195823,,,,0,0,15.62195823,,,,,2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Philanthropy (Emotional),13-17,female,ggwc_emotional_set_1 (1).mp4,0,8,0,,,,0.19,23.85138265,,,,0,0,,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Hypercube Brand Video,Climate Change (18-39),13-17,female,23849025484170764,4,4,1,,,,0.08,20,,,,0,0,20,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – Factual V3,Lookalikes (Factual V3),13-17,male,gg_factual_short.mp4,1,1,1,,,,0.01,10,,,,0,0,10,,,,"23847141732800764:Lookalike (AU, CA and 3 others, 1%) - GWWC Members & Try Givers,23847141732860764:Lookalike (AU, CA and 3 others, 2% to 3%) - GWWC Members & Try Givers,23847141732870764:Lookalike (AU, CA and 3 others, 1% to 2%) - GWWC Members & Try Givers,23847141734740764:Lookalike (AU, CA and 3 others, 1%) - GWWC Facebook Page (engaged within 365 days),23847141734790764:Lookalike (AU, CA and 3 others, 1% to 3%) - GWWC Facebook Page (engaged within 365 days)",2021-11-01,2022-01-20
Giving Guide 2021 - Emotional,Philanthropy (Emotional),13-17,male,ggwc_emotional_set_1 (1).mp4,0,1,0,,,,0.02,20.08537486,,,,0,0,,,,,,2021-11-01,2022-01-20
Giving Guide 2021 – PPCo Creatives,Philanthropy (18-39),13-17,female,ggwc_emotional_set_2 (1).mp4,4,5,1.25,,,,0.06,12,,,,0,0,15,,,,,2021-11-01,2022-01-20
